Actual,Expected
4.455,3.162
9.095,4.472
8.258,5.477
9.0,6.325
9.294,7.071
11.59,7.746
11.775,8.367
12.173,8.944
15.088,9.487
12.733,10.0
11.045,10.488
13.76,10.954
13.275,11.402
16.34,11.832
18.656,12.247
14.385,12.649
16.333,13.038
15.039,13.416
14.885,13.784
13.328,14.142
17.422,14.491
15.498,14.832
15.247,15.166
16.938,15.492
15.542,15.811
17.008,16.125
19.97,16.432
16.306,16.733
15.873,17.029
21.392,17.321
16.569,17.607
18.037,17.889
17.964,18.166
17.0,18.439
20.023,18.708
17.499,18.974
16.978,19.235
18.667,19.494
18.0,19.748
17.863,20.0
18.56,20.248
17.451,20.494
17.223,20.736
19.116,20.976
19.84,21.213
18.562,21.448
21.261,21.679
18.044,21.909
18.916,22.136
18.651,22.361
21.315,22.583
21.073,22.804
19.458,23.022
17.956,23.238
21.848,23.452
24.139,23.664
23.352,23.875
19.788,24.083
16.953,24.29
22.17,24.495
19.09,24.698
20.604,24.9
20.811,25.1
19.335,25.298
25.602,25.495
18.283,25.69
20.976,25.884
19.078,26.077
20.462,26.268
20.091,26.458
18.654,26.646
24.445,26.833
21.2,27.019
22.605,27.203
22.381,27.386
22.075,27.568
20.977,27.749
24.921,27.928
26.407,28.107
25.491,28.284
