Actual,Expected
5.909,3.162
6.524,4.472
12.0,5.477
11.439,6.325
12.804,7.071
9.672,7.746
11.761,8.367
15.765,8.944
11.484,9.487
14.04,10.0
15.306,10.488
13.198,10.954
15.878,11.402
12.66,11.832
18.556,12.247
16.516,12.649
15.175,13.038
13.978,13.416
16.298,13.784
16.9,14.142
16.611,14.491
18.009,14.832
15.688,15.166
16.423,15.492
16.462,15.811
18.245,16.125
21.085,16.432
17.502,16.733
17.371,17.029
16.276,17.321
18.929,17.607
17.377,17.889
19.088,18.166
20.716,18.439
19.88,18.708
20.222,18.974
16.528,19.235
19.018,19.494
18.923,19.748
15.264,20.0
17.27,20.248
17.822,20.494
17.211,20.736
19.646,20.976
19.297,21.213
20.835,21.448
22.567,21.679
18.644,21.909
21.607,22.136
17.83,22.361
17.771,22.583
20.768,22.804
23.542,23.022
19.397,23.238
20.617,23.452
20.342,23.664
19.806,23.875
19.244,24.083
20.146,24.29
18.283,24.495
22.705,24.698
21.8,24.9
19.745,25.1
21.039,25.298
20.81,25.495
18.328,25.69
23.505,25.884
20.001,26.077
19.948,26.268
24.456,26.458
19.848,26.646
18.313,26.833
19.644,27.019
21.825,27.203
22.726,27.386
23.97,27.568
20.582,27.749
21.721,27.928
19.887,28.107
23.659,28.284
